iter	Passed	Remaining
0	6	6264
1	11	5746
2	17	5750
3	23	5809
4	29	5778
5	33	5585
6	40	5767
7	46	5730
8	52	5742
9	58	5785
10	64	5795
11	68	5670
12	74	5680
13	81	5724
14	86	5705
15	92	5708
16	98	5700
17	104	5719
18	109	5672
19	115	5675
20	119	5577
21	126	5603
22	130	5557
23	136	5533
24	141	5519
25	146	5498
26	151	5472
27	157	5482
28	162	5457
29	168	5454
30	174	5453
31	180	5461
32	185	5424
33	190	5414
34	195	5399
35	201	5406
36	208	5416
37	215	5444
38	220	5436
39	225	5409
40	230	5393
41	235	5372
42	241	5374
43	245	5343
44	250	5326
45	256	5320
46	260	5288
47	266	5278
48	272	5280
49	275	5228
50	280	5224
51	285	5209
52	291	5211
53	296	5197
54	301	5176
55	306	5159
56	310	5141
57	315	5120
58	320	5110
59	325	5101
60	328	5064
61	333	5049
62	339	5051
63	344	5036
64	349	5030
65	355	5030
66	360	5020
67	365	5011
68	369	4986
69	373	4962
70	377	4940
71	382	4933
72	386	4913
73	389	4876
74	393	4857
75	399	4863
76	406	4871
77	412	4875
78	419	4891
79	425	4894
80	430	4887
81	436	4883
82	442	4886
83	448	4886
84	454	4887
85	458	4874
86	464	4876
87	469	4870
88	476	4873
89	482	4877
90	487	4865
91	493	4868
92	500	4880
93	506	4881
94	510	4867
95	517	4868
96	522	4868
97	528	4860
98	534	4865
99	540	4866
100	546	4860
101	552	4862
102	558	4867
103	565	4871
104	570	4862
105	576	4859
106	581	4852
107	586	4840
108	591	4836
109	596	4826
110	602	4827
111	608	4826
112	615	4827
113	619	4817
114	625	4815
115	631	4812
116	636	4806
117	643	4810
118	648	4797
119	653	4790
120	658	4785
121	664	4783
122	669	4770
123	675	4770
124	680	4765
125	686	4762
126	691	4751
127	696	4745
128	700	4730
129	706	4726
130	712	4724
131	716	4714
132	722	4707
133	727	4703
134	732	4696
135	738	4691
136	743	4685
137	748	4674
138	753	4668
139	759	4667
140	765	4663
141	771	4662
142	777	4658
143	783	4657
144	790	4660
145	795	4650
146	800	4647
147	807	4650
148	814	4651
149	820	4649
150	825	4640
151	828	4624
152	834	4618
153	838	4608
154	844	4602
155	849	4596
156	854	4587
157	859	4582
158	865	4580
159	872	4579
160	877	4575
161	884	4575
162	890	4574
163	897	4574
164	903	4569
165	908	4564
166	914	4560
167	919	4553
168	925	4549
169	931	4546
170	936	4542
171	941	4531
172	947	4527
173	952	4521
174	958	4516
175	962	4504
176	967	4500
177	974	4499
178	982	4504
179	988	4505
180	995	4504
181	1002	4504
182	1007	4498
183	1014	4499
184	1021	4498
185	1027	4494
186	1033	4492
187	1039	4489
188	1046	4490
189	1052	4488
190	1058	4484
191	1065	4482
192	1070	4476
193	1076	4472
194	1082	4468
195	1087	4463
196	1095	4464
197	1101	4462
198	1107	4458
199	1114	4457
200	1120	4453
201	1127	4453
202	1133	4451
203	1140	4449
204	1146	4446
205	1152	4441
206	1159	4442
207	1166	4440
208	1172	4438
209	1179	4435
210	1184	4430
211	1191	4427
212	1197	4423
213	1203	4419
214	1209	4416
215	1216	4414
216	1221	4408
217	1228	4405
218	1234	4400
219	1240	4397
220	1246	4393
221	1252	4389
222	1259	4386
223	1265	4383
224	1271	4381
225	1278	4379
226	1284	4375
227	1291	4371
228	1297	4368
229	1303	4363
230	1309	4359
231	1315	4355
232	1322	4354
233	1328	4349
234	1335	4347
235	1341	4344
236	1347	4338
237	1354	4337
238	1361	4334
239	1367	4329
240	1373	4326
241	1379	4320
242	1384	4313
243	1391	4310
244	1397	4306
245	1404	4303
246	1410	4300
247	1416	4296
248	1422	4291
249	1428	4286
250	1435	4282
251	1441	4277
252	1447	4273
253	1453	4270
254	1460	4266
255	1466	4262
256	1472	4258
257	1479	4254
258	1485	4250
259	1492	4246
260	1498	4242
261	1504	4239
262	1511	4235
263	1517	4230
264	1523	4225
265	1529	4221
266	1536	4217
267	1542	4213
268	1549	4209
269	1555	4205
270	1561	4200
271	1567	4196
272	1573	4191
273	1580	4187
274	1585	4181
275	1592	4176
276	1598	4171
277	1604	4166
278	1610	4161
279	1616	4157
280	1622	4152
281	1629	4147
282	1635	4144
283	1642	4139
284	1648	4135
285	1654	4129
286	1660	4124
287	1666	4120
288	1673	4115
289	1679	4111
290	1685	4107
291	1692	4103
292	1698	4098
293	1704	4094
294	1711	4090
295	1717	4084
296	1723	4078
297	1729	4074
298	1734	4067
299	1741	4062
300	1747	4057
301	1753	4053
302	1760	4048
303	1765	4042
304	1772	4038
305	1778	4034
306	1785	4030
307	1791	4026
308	1798	4021
309	1804	4016
310	1810	4011
311	1817	4007
312	1823	4002
313	1829	3997
314	1836	3993
315	1842	3988
316	1848	3983
317	1855	3979
318	1861	3974
319	1868	3970
320	1874	3965
321	1881	3961
322	1887	3956
323	1894	3951
324	1900	3947
325	1906	3942
326	1913	3937
327	1919	3932
328	1925	3927
329	1932	3923
330	1939	3919
331	1945	3913
332	1951	3909
333	1958	3904
334	1964	3899
335	1970	3895
336	1977	3889
337	1983	3885
338	1990	3880
339	1997	3876
340	2003	3872
341	2009	3866
342	2016	3861
343	2022	3856
344	2028	3851
345	2034	3846
346	2040	3840
347	2047	3835
348	2053	3830
349	2059	3824
350	2065	3819
351	2071	3814
352	2078	3809
353	2084	3804
354	2091	3799
355	2097	3793
356	2102	3787
357	2108	3781
358	2115	3776
359	2121	3771
360	2128	3766
361	2134	3761
362	2140	3756
363	2147	3752
364	2153	3746
365	2160	3742
366	2167	3738
367	2173	3733
368	2180	3728
369	2186	3723
370	2193	3719
371	2200	3714
372	2206	3709
373	2213	3705
374	2219	3699
375	2226	3694
376	2232	3689
377	2238	3683
378	2244	3677
379	2250	3672
380	2257	3667
381	2263	3662
382	2269	3656
383	2275	3650
384	2281	3645
385	2288	3639
386	2294	3634
387	2300	3629
388	2306	3623
389	2313	3617
390	2319	3612
391	2325	3607
392	2331	3601
393	2338	3596
394	2344	3591
395	2351	3586
396	2357	3580
397	2363	3574
398	2369	3569
399	2376	3564
400	2382	3558
401	2388	3553
402	2394	3547
403	2401	3542
404	2408	3538
405	2414	3532
406	2421	3527
407	2427	3522
408	2434	3517
409	2440	3512
410	2446	3506
411	2453	3501
412	2459	3495
413	2466	3491
414	2472	3485
415	2478	3479
416	2485	3474
417	2492	3469
418	2499	3465
419	2506	3460
420	2513	3456
421	2520	3451
422	2526	3445
423	2533	3441
424	2540	3436
425	2545	3430
426	2552	3425
427	2558	3419
428	2565	3414
429	2571	3408
430	2577	3402
431	2583	3397
432	2589	3391
433	2595	3385
434	2601	3379
435	2608	3373
436	2614	3368
437	2620	3362
438	2627	3357
439	2633	3351
440	2639	3345
441	2646	3340
442	2652	3334
443	2658	3329
444	2664	3323
445	2670	3317
446	2676	3311
447	2683	3306
448	2689	3300
449	2695	3294
450	2701	3289
451	2708	3283
452	2714	3277
453	2720	3271
454	2727	3266
455	2733	3261
456	2739	3255
457	2746	3249
458	2751	3243
459	2758	3237
460	2764	3232
461	2770	3226
462	2776	3220
463	2783	3215
464	2789	3209
465	2795	3203
466	2802	3198
467	2808	3192
468	2814	3186
469	2820	3180
470	2826	3175
471	2833	3169
472	2839	3163
473	2846	3158
474	2852	3152
475	2858	3147
476	2864	3140
477	2870	3134
478	2876	3128
479	2882	3122
480	2889	3117
481	2895	3111
482	2901	3105
483	2907	3100
484	2914	3094
485	2920	3089
486	2927	3083
487	2934	3078
488	2940	3073
489	2947	3067
490	2954	3062
491	2960	3056
492	2966	3050
493	2972	3045
494	2979	3039
495	2985	3033
496	2991	3027
497	2998	3022
498	3004	3016
499	3010	3010
500	3017	3005
501	3023	2999
502	3029	2993
503	3036	2988
504	3042	2982
505	3048	2976
506	3055	2970
507	3061	2964
508	3067	2958
509	3072	2952
510	3077	2945
511	3083	2939
512	3090	2933
513	3095	2927
514	3101	2920
515	3106	2913
516	3112	2907
517	3118	2901
518	3124	2895
519	3130	2889
520	3137	2884
521	3143	2878
522	3149	2872
523	3156	2866
524	3162	2861
525	3168	2855
526	3174	2849
527	3181	2843
528	3187	2837
529	3193	2832
530	3200	2826
531	3206	2820
532	3212	2814
533	3218	2808
534	3224	2802
535	3231	2796
536	3237	2791
537	3243	2785
538	3250	2779
539	3256	2773
540	3262	2767
541	3268	2762
